"Time","63 sinus","62 Ramp down","61 Ramp up","60 right DS","59 left DS","58 lHL swoff","57 lHL swon","56 rHL swoff","55 rHL swon","54 lFL swoff","53 lFL swon","52 rFL swoff","51 rFL swon","50 simus rmp","49 St rmp dw","48 Sw rmp dw","47 St rmp up","46 Sw rmp up","45 Sw offset","44 Sw onset","43 Ramp down","42 Ramp up","41 MTP (deg)","40 Ankle (de","39 Knee (deg","38 Hip (deg)","37 CoMy (cm)","36 CoMx (cm)","35 FRy (cm)","34 FRx (cm)","33 FLy (cm)","32 FLx (cm)","31 Keyboard","30 HRy (cm)","29 HRx (cm)","28 HLy (cm)","27 HLx (cm)","26 FLty (cm)","25 FLtx (cm)","24 toey (cm)","23 toex (cm)","22 MTPy (cm)","21 MTPx (cm)","20 anky (cm)","19 ankx (cm)","18 Knee y","17 Knee x","16 Hipy (cm)","15 Hipx (cm)","14 Cry (cm)","13 Crx (cm)","12 Synch","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch"
0.000,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.304779,80.115807,115.834358,72.822380,4.465261,14.583284,3.641845,15.652642,5.124011,16.935652,0,3.402778,12.775241,5.123077,10.421664,7.753099,13.182399,7.720404,13.093075,7.894252,12.534458,8.488543,12.198149,8.997209,13.564130,10.428204,13.679297,10.095279,14.435473,0,-0.02045,0.00390,-0.02133,-0.01264,0.00753,-0.01204,0.00655,0.00175,0.00030,0.11702,3.27712
0.001,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.603226,79.919807,116.083801,73.526337,4.472931,14.594968,3.640988,15.740946,5.124564,16.920465,0,3.403792,12.761059,5.132676,10.416889,7.747815,13.061996,7.710483,13.074001,7.888477,12.514868,8.476548,12.179627,8.983698,13.553148,10.409876,13.684491,10.082454,14.442140,0,-0.02722,0.00377,-0.02128,-0.01643,0.00881,-0.01025,0.00639,0.00162,0.00015,0.10318,3.27793
0.002,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.951553,79.723343,116.224350,74.120537,4.480184,14.606584,3.640188,15.829113,5.125088,16.905928,0,3.404817,12.746675,5.142309,10.412522,7.745427,13.048061,7.698895,13.056252,7.884089,12.495623,8.466406,12.160928,8.970934,13.543637,10.391504,13.689291,10.069555,14.448072,0,0.00096,0.00314,-0.02168,-0.00270,0.00812,-0.01172,0.00724,0.00076,0.00001,0.10487,3.27892
0.003,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.299896,79.526871,116.364891,74.714737,4.487436,14.618200,3.639388,15.917279,5.125613,16.891388,0,3.405842,12.732291,5.151942,10.408155,7.743039,13.034126,7.687307,13.038504,7.879700,12.476377,8.456264,12.142228,8.958171,13.534125,10.373132,13.694092,10.056657,14.454004,0,-0.03525,0.00447,-0.01155,-0.01717,0.00929,-0.01271,0.00863,0.00298,0.00030,0.11540,3.27825
0.004,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.648224,79.330406,116.505440,75.308937,4.494689,14.629816,3.638589,16.005445,5.126138,16.876850,0,3.406867,12.717907,5.161575,10.403789,7.740651,13.020191,7.675719,13.020755,7.875312,12.457132,8.446122,12.123528,8.945407,13.524613,10.354760,13.698892,10.043759,14.459937,0,-0.01711,0.00406,-0.02264,-0.01218,0.00810,-0.01153,0.00650,0.00225,0.00015,0.10511,3.27718
0.005,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.524536,79.387222,116.557945,75.722885,4.502127,14.636506,3.638486,16.094187,5.126621,16.862534,0,3.407903,12.704644,5.171805,10.404693,7.734760,13.011785,7.669561,13.008204,7.873321,12.444733,8.445060,12.114991,8.935476,13.520794,10.342855,13.704063,10.030939,14.466549,0,-0.01561,0.00280,-0.01755,-0.01251,0.01295,-0.01303,0.00433,0.00086,0.00015,0.10840,3.27692
0.006,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.295807,79.500389,116.590858,76.096725,4.509606,14.642099,3.638538,16.183058,5.127095,16.848265,0,3.408942,12.691631,5.182169,10.406768,7.728089,13.004607,7.664612,12.996809,7.871863,12.433856,8.446019,12.108716,8.926175,13.518240,10.332391,13.709317,10.018136,14.473313,0,-0.01614,-0.00134,-0.02025,-0.01364,0.02083,-0.01217,0.00026,0.00367,0.00000,0.11943,3.27684
0.007,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.067093,79.613564,116.623772,76.470566,4.517085,14.647694,3.638590,16.271927,5.127569,16.833996,0,3.409981,12.678618,5.192533,10.408844,7.721418,12.997430,7.659662,12.985415,7.870405,12.422979,8.446978,12.102440,8.916875,13.515687,10.321925,13.714571,10.005333,14.480077,0,-0.01795,0.00358,-0.01911,-0.01389,0.00480,-0.01375,0.00292,0.00333,0.00016,0.10655,3.27676
0.008,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.838364,79.726730,116.656685,76.844406,4.524564,14.653287,3.638642,16.360796,5.128043,16.819727,0,3.411019,12.665606,5.202896,10.410920,7.714747,12.990253,7.654713,12.974020,7.868947,12.412103,8.447937,12.096165,8.907575,13.513133,10.311460,13.719825,9.992530,14.486840,0,-0.01794,0.00313,-0.02263,-0.01322,0.01073,-0.01281,-0.00057,0.00194,0.00045,0.11307,3.27669
0.009,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.476562,79.942749,116.750931,77.456528,4.530190,14.661574,3.638499,16.443613,5.128507,16.803915,0,3.412137,12.652511,5.213778,10.422597,7.779739,13.828032,7.654533,12.960289,7.870353,12.399628,8.447965,12.090653,8.899753,13.510024,10.300701,13.727121,9.981453,14.496606,0,-0.01802,0.00320,-0.01208,-0.01422,0.00876,-0.01297,0.00255,0.00544,0.00000,0.11942,3.27667
0.010,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.085159,80.181648,116.858826,78.121666,4.535403,14.670460,3.638312,16.525085,5.128968,16.787760,0,3.413272,12.639397,5.224774,10.436411,7.860675,14.853807,7.655415,12.946038,7.872397,12.386798,8.447785,12.085314,8.892259,13.506791,10.289878,13.734873,9.970759,14.507039,0,-0.01747,0.00470,-0.01811,-0.01459,0.00909,-0.01130,0.00650,0.00275,0.00000,0.10490,3.27667
0.011,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.693756,80.420547,116.966713,78.786797,4.540616,14.679346,3.638126,16.606556,5.129429,16.771605,0,3.414407,12.626283,5.235771,10.450224,7.941611,15.879583,7.656296,12.931787,7.874440,12.373968,8.447606,12.079973,8.884766,13.503557,10.279054,13.742623,9.960066,14.517472,0,-0.01625,0.00265,-0.02211,-0.01211,0.00738,-0.01161,0.00530,0.00319,0.00030,0.11729,3.27686
0.012,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.302353,80.659447,117.074608,79.451935,4.545829,14.688231,3.637939,16.688026,5.129891,16.755449,0,3.415543,12.613169,5.246768,10.464038,8.022547,16.905359,7.657178,12.917537,7.876483,12.361138,8.447427,12.074633,8.877272,13.500324,10.268230,13.750375,9.949372,14.527905,0,-0.01816,0.00268,-0.01797,-0.01315,0.00863,-0.01165,0.00331,0.00260,0.00016,0.11669,3.27709
0.013,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.926285,80.807358,117.121605,80.109756,4.552235,14.699113,3.637738,16.756960,5.130248,16.744213,0,3.416631,12.601140,5.257700,10.493096,8.030788,17.129440,7.655339,12.902895,7.876665,12.347923,8.450455,12.068089,8.870708,13.497214,10.259592,13.758436,9.944285,14.538328,0,-0.02029,0.00318,-0.02082,-0.01465,0.00846,-0.01298,0.00724,0.00234,0.00031,0.09667,3.27744
0.014,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.553635,80.935028,117.155060,80.765945,4.558906,14.710437,3.637533,16.823103,5.130582,16.734074,0,3.417709,12.589353,5.268620,10.525548,8.022857,17.175148,7.652894,12.888167,7.876431,12.334621,8.454195,12.061276,8.864350,13.494133,10.251440,13.766567,9.940446,14.548750,0,-0.01684,0.00209,-0.02607,-0.01415,0.00862,-0.01282,0.00466,0.00172,-0.00015,0.11570,3.27782
0.015,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.181000,81.062698,117.188507,81.422134,4.565577,14.721762,3.637328,16.889246,5.130916,16.723932,0,3.418786,12.577566,5.279539,10.557999,8.014924,17.220856,7.650450,12.873440,7.876198,12.321321,8.457936,12.054465,8.857993,13.491051,10.243288,13.774698,9.936606,14.559171,0,-0.01777,0.00368,-0.02033,-0.01380,0.00288,-0.01252,-0.00224,0.00276,0.00000,0.11110,3.27758
0.016,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.808350,81.190369,117.221954,82.078323,4.572248,14.733087,3.637124,16.955389,5.131250,16.713793,0,3.419864,12.565779,5.290457,10.590450,8.006992,17.266563,7.648005,12.858712,7.875964,12.308019,8.461677,12.047653,8.851635,13.487968,10.235136,13.782829,9.932767,14.569592,0,-0.01723,0.00522,-0.02151,-0.01358,0.00400,-0.01105,0.00034,0.00271,0.00031,0.08784,3.27720
0.017,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.601105,81.291443,117.171654,82.657143,4.575117,14.748868,3.636741,17.007322,5.131451,16.703268,0,3.420798,12.550335,5.300833,10.633036,8.004220,17.317047,7.648691,12.844722,7.876024,12.298600,8.464142,12.042698,8.843897,13.486275,10.225832,13.791799,9.925727,14.578236,0,-0.02013,0.00388,-0.01957,-0.01357,0.00963,-0.01247,0.00958,0.00385,-0.00015,0.11796,3.27738
0.018,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.430664,81.386597,117.102715,83.218750,4.577140,14.765641,3.636319,17.056095,5.131621,16.692659,0,3.421699,12.534076,5.311087,10.677876,8.002597,17.368597,7.650073,12.830896,7.876150,12.290046,8.466324,12.038156,8.835851,13.484890,10.216271,13.800955,9.917975,14.586484,0,-0.01826,0.00366,-0.01917,-0.01691,0.00988,-0.01351,0.00526,0.00388,0.00014,0.10976,3.27768
0.019,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.260239,81.481750,117.033783,83.780350,4.579163,14.782414,3.635896,17.104868,5.131792,16.682051,0,3.422600,12.517817,5.321341,10.722715,8.000973,17.420145,7.651455,12.817070,7.876275,12.281490,8.468505,12.033613,8.827806,13.483505,10.206711,13.810111,9.910224,14.594732,0,-0.01800,0.00357,-0.02268,-0.01118,0.00898,-0.01398,0.00174,-0.00070,0.00015,0.07863,3.27768
0.020,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.089798,81.576904,116.964844,84.341957,4.581186,14.799188,3.635474,17.153641,5.131963,16.671442,0,3.423502,12.501559,5.331595,10.767555,7.999350,17.471693,7.652837,12.803245,7.876400,12.272936,8.470687,12.029071,8.819759,13.482121,10.197150,13.819267,9.902472,14.602981,0,-0.01745,0.00216,-0.02050,-0.01334,0.00776,-0.01306,0.00704,0.00510,-0.00000,0.11441,3.27760
0.021,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.694199,81.916565,116.988266,84.951965,4.581400,14.814791,3.635032,17.214472,5.131827,16.661543,0,3.424263,12.489840,5.341292,10.831521,7.994102,17.541460,7.648773,12.790884,7.876736,12.263041,8.472123,12.025692,8.810776,13.481930,10.186413,13.826081,9.895746,14.611370,0,-0.01749,0.00294,-0.02091,-0.01354,0.00670,-0.01276,0.00643,0.00134,0.00000,0.10488,3.27734
0.022,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.248505,82.310631,117.032227,85.572739,4.581212,14.830133,3.634587,17.277987,5.131624,16.651800,0,3.424993,12.479130,5.350864,10.899743,7.988047,17.615282,7.643496,12.778851,7.877119,12.252850,8.473394,12.022573,8.801582,13.482005,10.175414,13.832375,9.889248,14.619791,0,-0.01863,0.00397,-0.01802,-0.01420,0.00703,-0.01229,0.00504,0.00742,-0.00015,0.08069,3.27704
0.023,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.802826,82.704689,117.076195,86.193512,4.581024,14.845475,3.634141,17.341501,5.131421,16.642057,0,3.425723,12.468421,5.360437,10.967965,7.981992,17.689102,7.638220,12.766817,7.877502,12.242658,8.474666,12.019453,8.792389,13.482080,10.164414,13.838669,9.882750,14.628213,0,-0.01681,0.00329,-0.02173,-0.01282,0.00822,-0.01315,0.00683,0.00093,0.00015,0.11067,3.27716
0.024,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.357132,83.098755,117.120155,86.814285,4.580835,14.860818,3.633695,17.405014,5.131218,16.632317,0,3.426453,12.457711,5.370009,11.036187,7.975938,17.762924,7.632943,12.754784,7.877885,12.232466,8.475937,12.016334,8.783195,13.482155,10.153416,13.844962,9.876251,14.636634,0,-0.01720,0.00373,-0.01953,-0.01350,0.00039,-0.01303,0.00719,0.00456,-0.00015,0.10764,3.27739
0.025,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.611023,82.942932,117.599823,87.577560,4.577079,14.873782,3.633206,17.459278,5.131284,16.625713,0,3.427150,12.449983,5.378953,11.110735,7.985846,17.832256,7.632016,12.742169,7.875469,12.223438,8.476332,12.014837,8.776847,13.474938,10.143901,13.846635,9.869773,14.640894,0,-0.01540,0.00265,-0.02143,-0.01287,0.00858,-0.01216,0.00133,0.00500,0.00000,0.08541,3.27756
0.026,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.020569,82.664772,118.176422,88.372543,4.572529,14.886217,3.632709,17.511484,5.131411,16.619810,0,3.427840,12.442919,5.387757,11.186688,7.999306,17.900591,7.632057,12.729426,7.872429,12.214670,8.476531,12.013701,8.771132,13.466100,10.134715,13.847280,9.863298,14.644228,0,-0.01778,0.00441,-0.01518,-0.01194,0.00105,-0.01141,0.01338,0.00437,0.00000,0.10418,3.27771
0.027,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.430115,82.386604,118.753029,89.167526,4.567979,14.898652,3.632210,17.563690,5.131538,16.613907,0,3.428529,12.435854,5.396560,11.262643,8.012766,17.968924,7.632098,12.716684,7.869390,12.205902,8.476731,12.012566,8.765415,13.457261,10.125530,13.847924,9.856824,14.647562,0,-0.01828,0.00369,-0.02117,-0.01320,0.00978,-0.01083,0.00546,0.00244,0.00000,0.11073,3.27762
0.028,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.839661,82.108444,119.329628,89.962509,4.563429,14.911087,3.631712,17.615896,5.131665,16.608004,0,3.429219,12.428789,5.405364,11.338597,8.026226,18.037258,7.632139,12.703941,7.866351,12.197134,8.476931,12.011430,8.759700,13.448422,10.116345,13.848569,9.850349,14.650897,0,-0.01823,0.00335,-0.01886,-0.01326,0.00823,-0.01300,0.00429,0.00135,0.00000,0.09346,3.27746
0.029,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.230743,81.560135,119.693169,90.821503,4.558681,14.927268,3.631070,17.676493,5.131567,16.597553,0,3.430063,12.418933,5.413679,11.426624,8.033024,18.087093,7.629276,12.696868,7.863567,12.193375,8.466205,11.997952,8.755544,13.436160,10.108380,13.849305,9.846540,14.655343,0,-0.01605,0.00295,-0.02175,-0.01271,0.00723,-0.01093,0.00529,0.00466,-0.00015,0.09767,3.27700
0.030,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.617706,80.951729,120.009300,91.694740,4.553889,14.944282,3.630396,17.738958,5.131420,16.586092,0,3.430941,12.408456,5.421885,11.517338,8.038339,18.132816,7.625768,12.691055,7.860840,12.190730,8.453049,11.981730,8.751734,13.423137,10.100686,13.850062,9.843326,14.660038,0,-0.01584,0.00281,-0.02000,-0.01463,0.00867,-0.01241,0.00380,-0.00026,0.00000,0.11656,3.27647
0.031,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.004669,80.343323,120.325432,92.567986,4.549098,14.961296,3.629722,17.801422,5.131272,16.574629,0,3.431819,12.397978,5.430090,11.608051,8.043653,18.178537,7.622259,12.685244,7.858114,12.188085,8.439892,11.965507,8.747925,13.410113,10.092993,13.850819,9.840110,14.664732,0,-0.01516,0.00452,-0.02171,-0.01349,0.00806,-0.01194,0.00607,-0.00176,0.00000,0.10622,3.27618
0.032,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.391632,79.734917,120.641571,93.441223,4.544306,14.978310,3.629048,17.863888,5.131125,16.563168,0,3.432697,12.387501,5.438296,11.698765,8.048968,18.224258,7.618751,12.679431,7.855387,12.185440,8.426736,11.949284,8.744116,13.397090,10.085299,13.851576,9.836895,14.669426,0,-0.02639,0.00446,-0.02094,-0.01252,0.00923,-0.01176,0.00324,0.00208,0.00000,0.08201,3.27595
0.033,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.875427,79.485771,120.670265,94.308556,4.537035,14.989046,3.628419,17.909855,5.130912,16.551592,0,3.433771,12.375097,5.445670,11.776279,8.040467,18.269377,7.621032,12.670108,7.856732,12.173068,8.434637,11.937114,8.739623,13.386815,10.077086,13.851110,9.834693,14.669793,0,-0.01544,0.00191,-0.02236,-0.01412,0.00841,-0.01400,0.00782,0.00338,0.00000,0.11481,3.27603
0.034,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.158264,79.316566,120.635017,95.174576,4.529214,14.998386,3.627801,17.952154,5.130684,16.539989,0,3.434888,12.362266,5.452859,11.850857,8.028893,18.314358,7.624602,12.660004,7.858982,12.158531,8.447224,11.925846,8.734979,13.377151,10.068760,13.850374,9.832718,14.669197,0,0.01247,0.00411,-0.02238,-0.01222,0.00746,-0.01296,0.00390,0.00113,0.00016,0.11872,3.27619
0.035,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.441116,79.147362,120.599762,96.040588,4.521392,15.007727,3.627183,17.994452,5.130457,16.528389,0,3.436005,12.349435,5.460049,11.925434,8.017319,18.359341,7.628171,12.649899,7.861233,12.143995,8.459810,11.914578,8.730334,13.367487,10.060432,13.849637,9.830742,14.668601,0,-0.03629,0.00215,-0.02207,-0.01416,0.00894,-0.01190,0.00526,0.00293,-0.00015,0.09235,3.27640
0.036,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.723953,78.978157,120.564514,96.906609,4.513571,15.017067,3.626564,18.036751,5.130229,16.516787,0,3.437123,12.336603,5.467238,12.000011,8.005745,18.404324,7.631742,12.639795,7.863483,12.129458,8.472397,11.903310,8.725690,13.357822,10.052105,13.848901,9.828766,14.668005,0,-0.01141,0.00383,-0.02394,-0.01464,0.00788,-0.01266,0.00512,0.00096,0.00000,0.10961,3.27663
0.037,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.512833,78.811417,120.789474,97.717499,4.503328,15.026236,3.625895,18.057516,5.130116,16.506344,0,3.437828,12.325809,5.474037,12.071941,7.969394,18.375830,7.637379,12.630665,7.864258,12.118080,8.477096,11.890964,8.723108,13.345216,10.045632,13.845264,9.829020,14.668555,0,-0.01192,-0.00165,-0.02188,-0.01288,0.00815,-0.01163,0.00341,0.00449,-0.00015,0.12368,3.27704
0.038,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.414307,78.645218,121.072327,98.516121,4.492546,15.035366,3.625215,18.073490,5.130027,16.496157,0,3.438441,12.315470,5.480749,12.143283,7.927530,18.330988,7.643476,12.621751,7.864705,12.107404,8.480040,11.878377,8.720984,13.331954,10.039572,13.840983,9.829768,14.669361,0,-0.03830,0.00814,-0.01760,-0.01335,0.00904,-0.01318,0.00468,-0.00237,-0.00014,0.10702,3.27750
0.039,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.315781,78.479019,121.355179,99.314743,4.481764,15.044497,3.624535,18.089464,5.129939,16.485971,0,3.439054,12.305130,5.487461,12.214623,7.885666,18.286146,7.649574,12.612837,7.865151,12.096727,8.482983,11.865790,8.718862,13.318693,10.033511,13.836702,9.830518,14.670167,0,-0.02179,0.00195,-0.01902,-0.01260,0.00771,-0.01299,0.00446,0.00436,0.00001,0.08817,3.27740
0.040,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.217255,78.312820,121.638031,100.113365,4.470983,15.053627,3.623854,18.105438,5.129851,16.475786,0,3.439667,12.294789,5.494173,12.285965,7.843803,18.241304,7.655672,12.603923,7.865598,12.086051,8.485927,11.853204,8.716738,13.305431,10.027451,13.832421,9.831267,14.670973,0,-0.01915,0.00340,-0.02020,-0.01458,0.00799,-0.01251,0.00533,0.00332,0.00000,0.11255,3.27717
0.041,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.485718,78.215378,122.038925,100.822449,4.461108,15.061327,3.623461,18.100689,5.129616,16.463575,0,3.440429,12.280206,5.500454,12.356312,7.819739,18.344791,7.655102,12.591783,7.866242,12.072395,8.484592,11.838865,8.715512,13.289169,10.023966,13.823636,9.832504,14.669171,0,-0.01442,0.00255,-0.01950,-0.01266,0.00916,-0.01295,0.00094,0.00275,-0.00015,0.11892,3.27701
0.042,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.835831,78.133240,122.466087,101.511612,4.451436,15.068707,3.623131,18.091328,5.129349,16.450914,0,3.441225,12.264678,5.506639,12.426436,7.799636,18.481281,7.653049,12.578925,7.866930,12.058077,8.482306,11.824136,8.714485,13.272240,10.021054,13.813848,9.833850,14.666789,0,-0.01959,0.00374,-0.01974,-0.01354,0.00826,-0.01246,0.00380,0.00343,0.00016,0.09675,3.27685
0.043,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,134.185944,78.051102,122.893242,102.200775,4.441763,15.076089,3.622802,18.081968,5.129081,16.438251,0,3.442020,12.249150,5.512824,12.496562,7.779533,18.617769,7.650996,12.566067,7.867618,12.043758,8.480020,11.809407,8.713459,13.255310,10.018143,13.804061,9.835196,14.664407,0,-0.01730,0.00119,-0.01951,-0.01270,0.00897,-0.01238,0.00602,-0.00046,0.00000,0.09211,3.27726
0.044,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.536057,77.968956,123.320404,102.889938,4.432090,15.083469,3.622472,18.072607,5.128814,16.425591,0,3.442816,12.233623,5.519009,12.566687,7.759429,18.754259,7.648943,12.553209,7.868306,12.029440,8.477733,11.794679,8.712433,13.238380,10.015232,13.794273,9.836541,14.662025,0,-0.01917,0.00413,-0.02047,-0.01483,0.00749,-0.01118,0.00568,0.00254,0.00015,0.11818,3.27779
0.045,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.595306,77.735115,123.800865,103.583664,4.423989,15.089795,3.622522,18.062014,5.128821,16.413727,0,3.443372,12.224461,5.525099,12.652232,7.734412,18.719675,7.646040,12.539059,7.867244,12.013382,8.471693,11.777298,8.710703,13.219651,10.011463,13.782628,9.837984,14.656622,0,-0.01414,0.00399,-0.02174,-0.01424,0.00863,-0.01267,0.00424,0.00202,0.00031,0.10346,3.27765
0.046,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.589828,77.467514,124.293190,104.278397,4.416237,15.095884,3.622657,18.051146,5.128890,16.402040,0,3.443874,12.216715,5.531168,12.741209,7.708302,18.647030,7.642949,12.524620,7.865793,11.996938,8.464818,11.759328,8.708817,13.200522,10.007504,13.770570,9.839449,14.650547,0,-0.02180,0.00338,-0.02173,-0.01349,0.00876,-0.01169,0.00819,0.00242,-0.00014,0.09093,3.27734
0.047,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.584351,77.199913,124.785515,104.973137,4.408485,15.101974,3.622792,18.040279,5.128959,16.390354,0,3.444376,12.208968,5.537237,12.830185,7.682191,18.574383,7.639857,12.510181,7.864343,11.980494,8.457942,11.741357,8.706931,13.181393,10.003546,13.758512,9.840914,14.644472,0,-0.02103,0.00338,-0.02040,-0.01360,0.00968,-0.01369,0.00588,0.00251,-0.00015,0.11439,3.27747
0.048,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.578873,76.932312,125.277840,105.667877,4.400733,15.108065,3.622927,18.029411,5.129027,16.378668,0,3.444878,12.201222,5.543306,12.919162,7.656081,18.501738,7.636766,12.495743,7.862892,11.964049,8.451067,11.723387,8.705046,13.162264,9.999587,13.746452,9.842379,14.638396,0,-0.01212,0.00229,-0.01615,-0.01291,0.00919,-0.01266,0.00344,0.00450,0.00015,0.10868,3.27770
0.049,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.542221,76.480698,125.610611,106.270485,4.392606,15.111383,3.622912,18.015923,5.129178,16.367855,0,3.445431,12.189164,5.548980,12.983054,7.651620,18.471157,7.642066,12.484306,7.861597,11.949274,8.445252,11.704757,8.702061,13.143492,9.993186,13.736487,9.840682,14.629901,0,-0.02629,0.00367,-0.02089,-0.01342,0.00809,-0.01225,0.00342,0.00352,-0.00015,0.10284,3.27756
0.050,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.498627,75.988144,125.907883,106.852592,4.384395,15.114085,3.622863,18.001852,5.129347,16.357239,0,3.445997,12.176147,5.554566,13.041366,7.651978,18.449936,7.649234,12.473537,7.860335,11.934869,8.439674,11.685982,8.698832,13.124799,9.986241,13.726987,9.838283,14.620868,0,0.01897,0.00114,-0.01991,-0.01204,0.00634,-0.01151,0.00261,-0.00049,0.00000,0.08957,3.27733
0.051,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.455032,75.495598,126.205162,107.434700,4.376184,15.116788,3.622815,17.987780,5.129516,16.346621,0,3.446562,12.163129,5.560152,13.099677,7.652335,18.428717,7.656401,12.462769,7.859074,11.920465,8.434096,11.667206,8.695602,13.106106,9.979297,13.717487,9.835882,14.611834,0,-0.02762,0.00477,-0.01931,-0.01487,0.00875,-0.01094,0.00611,0.00370,0.00001,0.10395,3.27728
0.052,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.411438,75.003044,126.502434,108.016815,4.367973,15.119490,3.622766,17.973709,5.129684,16.336002,0,3.447127,12.150111,5.565738,13.157989,7.652692,18.407495,7.663568,12.452000,7.857813,11.906060,8.428518,11.648430,8.692372,13.087413,9.972352,13.707988,9.833482,14.602799,0,-0.01079,0.00183,-0.02047,-0.01428,0.00809,-0.01327,0.00646,0.00361,0.00015,0.11264,3.27728
